triple,both_id,men_id,women_id,months,max_abs_error_000s,status
vets=Veterans who served in Gulf War Era 1 but not Gulf War Era 2 | Employed,LNU02066415,LNU02066420,LNU02066421,213,1.0,OK
vets=Veterans who served in Gulf War Era 1 but not Gulf War Era 2 | Civilian labor force,LNU01066415,LNU01066420,LNU01066421,213,1.0,OK
vets=Veterans who served in Gulf War Era 1 but not Gulf War Era 2 | Civilian noninstitutional population,LNU00066415,LNU00066420,LNU00066421,213,1.0,OK
vets=Veterans who served in Gulf War Era 2 (whether or not they served in Era 1) | Not in labor force,LNU05066408,LNU05066413,LNU05066414,245,1.0,OK
vets=Veterans who served in Gulf War Era 2 (whether or not they served in Era 1) | Unemployed,LNU03066408,LNU03066413,LNU03066414,245,1.0,OK
vets=Veterans who served in Gulf War Era 2 (whether or not they served in Era 1) | Employed,LNU02066408,LNU02066413,LNU02066414,245,1.0,OK
vets=Veterans who served in Gulf War Era 2 (whether or not they served in Era 1) | Civilian labor force,LNU01066408,LNU01066413,LNU01066414,245,1.0,OK
vets=Veterans who served in Gulf War Era 2 (whether or not they served in Era 1) | Civilian noninstitutional population,LNU00066408,LNU00066413,LNU00066414,245,1.0,OK
vets=Gulf War Era | Unemployed,LNU03049571,LNU03049572,LNU03049573,241,1.0,OK
orig=Central or South American | Not in labor force,LNU05092166,LNU05092167,LNU05092168,149,1.0,OK
vets=Gulf War Era | Employed,LNU02049571,LNU02049572,LNU02049573,241,1.0,OK
vets=Gulf War Era | Civilian labor force,LNU01049571,LNU01049572,LNU01049573,241,1.0,OK
vets=Gulf War Era | Civilian noninstitutional population,LNU00049571,LNU00049572,LNU00049573,241,1.0,OK
vets=Vietnam era and earlier wartime periods | Not in labor force,LNU05077884,LNU05073765,LNU05073766,213,1.0,OK
vets=Vietnam era and earlier wartime periods | Unemployed,LNU03077884,LNU03073765,LNU03073766,213,1.0,OK
vets=Vietnam era and earlier wartime periods | Employed,LNU02077884,LNU02073765,LNU02073766,213,1.0,OK
vets=Vietnam era and earlier wartime periods | Civilian labor force,LNU01077884,LNU01073765,LNU01073766,213,1.0,OK
vets=Vietnam era and earlier wartime periods | Civilian noninstitutional population,LNU00077884,LNU00073765,LNU00073766,213,1.0,OK
vets=Veteran | Not in labor force,LNU05049526,LNU05049527,LNU05049528,317,1.0,OK
vets=Veterans who served in Gulf War Era 1 but not Gulf War Era 2 | Not in labor force,LNU05066415,LNU05066420,LNU05066421,213,1.0,OK
vets=Other Service Periods (may include peacetime) | Civilian noninstitutional population,LNU00049586,LNU00049587,LNU00049588,241,1.0,OK
vets=Other Service Periods (may include peacetime) | Civilian labor force,LNU01049586,LNU01049587,LNU01049588,241,1.0,OK
vets=Other Service Periods (may include peacetime) | Employed,LNU02049586,LNU02049587,LNU02049588,241,1.0,OK
born=Foreign born | Unemployed,LNU03073395,LNU03073396,LNU03073397,233,1.0,OK
born=Foreign born | Employed,LNU02073395,LNU02073396,LNU02073397,233,1.0,OK
born=Foreign born | Civilian labor force,LNU01073395,LNU01073396,LNU01073397,233,1.0,OK
born=Foreign born | Civilian noninstitutional population,LNU00073395,LNU00073396,LNU00073397,233,1.0,OK
born=Native born | Not in labor force,LNU05073413,LNU05073414,LNU05073415,233,1.0,OK
born=Native born | Unemployed,LNU03073413,LNU03073414,LNU03073415,233,1.0,OK
born=Native born | Employed,LNU02073413,LNU02073414,LNU02073415,233,1.0,OK
born=Native born | Civilian labor force,LNU01073413,LNU01073414,LNU01073415,233,1.0,OK
born=Native born | Civilian noninstitutional population,LNU00073413,LNU00073414,LNU00073415,233,1.0,OK
wkst=With a job not at work | Employed part time (persons who usually work less than 35 hours),LNU02606439,LNU02606471,LNU02606487,389,1.0,OK
wkst=With a job not at work | Employed full time (persons who usually work 35 hours or more),LNU02506439,LNU02506471,LNU02506487,389,1.0,OK
wkst=With a job not at work | Employed,LNU02006439,LNU02006471,LNU02006487,281,1.0,OK
vets=Nonveteran | Not in labor force,LNU05049601,LNU05049602,LNU05049603,317,1.0,OK
vets=Nonveteran | Unemployed,LNU03049601,LNU03049602,LNU03049603,317,1.0,OK
vets=Nonveteran | Employed,LNU02049601,LNU02049602,LNU02049603,317,1.0,OK
vets=Nonveteran | Civilian labor force,LNU01049601,LNU01049602,LNU01049603,317,1.0,OK
vets=Nonveteran | Civilian noninstitutional population,LNU00049601,LNU00049602,LNU00049603,317,1.0,OK
vets=Other Service Periods (may include peacetime) | Not in labor force,LNU05049586,LNU05049587,LNU05049588,241,1.0,OK
vets=Other Service Periods (may include peacetime) | Unemployed,LNU03049586,LNU03049587,LNU03049588,241,1.0,OK
vets=Veteran | Unemployed,LNU03049526,LNU03049527,LNU03049528,317,1.0,OK
vets=Veteran | Employed,LNU02049526,LNU02049527,LNU02049528,317,1.0,OK
vets=Veteran | Civilian labor force,LNU01049526,LNU01049527,LNU01049528,317,1.0,OK
orig=Other Hispanic or Latino (excludes Dominican) | Civilian noninstitutional population,LNU00083447,LNU00083448,LNU00083449,149,1.0,OK
orig=Other Hispanic or Latino | Unemployed,LNU03083441,LNU03083442,LNU03083443,149,1.0,OK
orig=Other Hispanic or Latino | Employed,LNU02083441,LNU02083442,LNU02083443,149,1.0,OK
orig=Other Hispanic or Latino | Civilian labor force,LNU01083441,LNU01083442,LNU01083443,149,1.0,OK
orig=Other Hispanic or Latino | Civilian noninstitutional population,LNU00083441,LNU00083442,LNU00083443,149,1.0,OK
orig=South American | Not in labor force,LNU05083438,LNU05083439,LNU05083440,149,1.0,OK
orig=South American | Unemployed,LNU03083438,LNU03083439,LNU03083440,149,1.0,OK
orig=South American | Employed,LNU02083438,LNU02083439,LNU02083440,149,1.0,OK
orig=South American | Civilian labor force,LNU01083438,LNU01083439,LNU01083440,149,1.0,OK
orig=South American | Civilian noninstitutional population,LNU00083438,LNU00083439,LNU00083440,149,1.0,OK
orig=Other Central American (excludes Salvadoran) | Not in labor force,LNU05083435,LNU05083436,LNU05083437,149,1.0,OK
orig=Other Central American (excludes Salvadoran) | Unemployed,LNU03083435,LNU03083436,LNU03083437,149,1.0,OK
orig=Other Central American (excludes Salvadoran) | Employed,LNU02083435,LNU02083436,LNU02083437,149,1.0,OK
orig=Other Central American (excludes Salvadoran) | Civilian labor force,LNU01083435,LNU01083436,LNU01083437,149,1.0,OK
orig=Other Central American (excludes Salvadoran) | Civilian noninstitutional population,LNU00083435,LNU00083436,LNU00083437,149,1.0,OK
orig=Central American | Not in labor force,LNU05083429,LNU05083430,LNU05083431,149,1.0,OK
orig=Central American | Unemployed,LNU03083429,LNU03083430,LNU03083431,149,1.0,OK
